"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.808714583E-1	-1.427583175E-1	1.974242198E-1	8.541847427E-2	2.581716010E-1
5.908464583E-1	-1.639392623E-1	7.778550982E-2	7.518933694E-2	1.964181857E-1
6.008214583E-1	-1.107825081E-1	-1.146229684E-2	7.416373531E-2	1.338073540E-1
6.107964583E-1	-7.535306811E-2	-1.358425140E-2	1.043733841E-1	1.294465916E-1
6.207714583E-1	-4.483439853E-2	-3.994349957E-2	8.257087111E-2	1.020958138E-1
6.307454583E-1	4.307761629E-2	-3.366008162E-2	3.626734595E-2	6.560489694E-2
6.407204583E-1	5.207677354E-2	-2.842273057E-2	-1.813689808E-2	6.203860917E-2
6.506954583E-1	7.233035912E-2	-4.279401720E-2	-5.227177361E-2	9.897144575E-2
6.606704583E-1	1.072882211E-1	-6.465149403E-2	-2.286261320E-4	1.252622463E-1
6.706444583E-1	5.798743148E-2	-8.501032948E-2	3.736487289E-2	1.094779980E-1
6.806194583E-1	1.784746547E-2	-8.980504632E-2	4.723614236E-2	1.030278191E-1
6.905944583E-1	5.996319652E-3	-1.586606884E-1	4.452596247E-2	1.648991547E-1
7.005694583E-1	-4.253380696E-2	-2.171766990E-1	2.851218840E-2	2.231317732E-1
7.105434583E-1	-2.944571008E-2	-2.003986984E-1	1.028876523E-2	2.028116044E-1
7.205184583E-1	-3.095836650E-2	-1.622134566E-1	1.385906826E-2	1.657217540E-1
7.304934583E-1	-5.506116500E-2	-1.626479048E-1	7.269251647E-3	1.718688885E-1
7.404684583E-1	-4.059634119E-2	-1.310489666E-1	5.018080473E-3	1.372846521E-1
7.504424583E-1	4.474727045E-2	-6.322009563E-2	1.936247448E-2	7.983736044E-2
7.604174583E-1	1.118873486E-1	-2.354322910E-2	3.429391980E-3	1.143889118E-1
7.703924583E-1	1.130986085E-1	4.894704223E-3	3.390799900E-2	1.181736255E-1
7.803674583E-1	6.766835581E-2	-4.076678753E-2	1.076875859E-1	1.335573042E-1
7.903414583E-1	1.945749630E-2	-7.849945486E-2	1.617983043E-1	1.808851842E-1
8.003164583E-1	-4.264783680E-2	-9.212989926E-2	1.085336781E-1	1.486146547E-1
8.102914583E-1	-5.539155096E-2	-8.419581234E-2	3.460966945E-3	1.008421391E-1
8.202664583E-1	-7.392936246E-3	-1.129337078E-1	-1.158449908E-2	1.137667723E-1
8.302414583E-1	2.173936307E-2	-9.391505420E-2	1.782757580E-2	9.803295248E-2
8.402154583E-1	8.563189765E-2	2.790291309E-3	6.775986930E-2	1.092337288E-1
8.501904583E-1	1.558689353E-1	3.497336626E-2	6.049997091E-2	1.708171766E-1
8.601654583E-1	1.510134074E-1	-3.047568798E-3	1.261361361E-2	1.515699183E-1
8.701404583E-1	1.382667605E-1	-9.255265296E-2	-2.112305741E-2	1.677196297E-1
8.801144583E-1	1.076931499E-1	-7.965369523E-2	-3.294321755E-2	1.379412240E-1
8.900892083E-1	1.058913213E-1	-1.345736682E-2	-2.859990120E-2	1.105080404E-1
9.000642083E-1	1.274181381E-1	1.007867020E-1	-8.196919262E-2	1.819678262E-1
9.100392083E-1	8.181453377E-2	1.220653045E-1	-1.602335894E-1	2.174128784E-1
9.200132083E-1	4.396784574E-2	1.023192573E-1	-1.470931417E-1	1.844960547E-1
9.299882083E-1	-2.363270064E-2	9.064587593E-2	-5.458141009E-2	1.084172942E-1
9.399632083E-1	-6.448281099E-2	1.048645502E-1	6.538357456E-2	1.393901669E-1
9.499382083E-1	-9.707984140E-2	1.090540802E-1	8.528396090E-2	1.690876755E-1
9.599122083E-1	-7.956453432E-2	1.385486054E-1	8.878413160E-2	1.827808885E-1
9.698872083E-1	-4.460225950E-2	1.235820723E-1	7.714347641E-2	1.523581507E-1
9.798622083E-1	-6.767215650E-2	1.299999762E-1	1.025379340E-1	1.788673880E-1
9.898372083E-1	-7.752443165E-2	1.320593655E-1	1.387667066E-1	2.066540887E-1
9.998112083E-1	-5.060326606E-2	6.435913324E-2	1.540068895E-1	1.744159126E-1
1.009786208E0	-5.703753303E-2	-1.350005150E-2	1.788903004E-1	1.882478981E-1
