"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.978083336E-3	1.884393883E-1	1.001534486E-1	9.967514634E-2	2.355318473E-1
1.295308334E-2	1.631060341E-1	2.248757279E-1	2.541989297E-1	3.765498203E-1
2.292808334E-2	1.497220498E-1	2.896897745E-1	3.270949612E-1	4.618744108E-1
3.290208334E-2	3.973533869E-2	1.247655487E-1	2.630650628E-1	2.938512660E-1
4.287708333E-2	-8.855725050E-2	-2.259364128E-3	1.957764379E-1	2.148857952E-1
5.285208333E-2	-2.630264711E-1	3.103058875E-2	2.465653531E-1	3.618567331E-1
6.282708333E-2	-3.809060463E-1	1.267524326E-1	3.192597288E-1	5.129155581E-1
7.280208333E-2	-2.479196048E-1	1.395964265E-1	1.991631452E-1	3.472999441E-1
8.277608333E-2	-8.506909400E-2	1.166835272E-1	-6.937257249E-2	1.602009678E-1
9.275108334E-2	1.672245433E-2	1.000300723E-1	-2.735713764E-1	2.917652375E-1
1.027260833E-1	9.960439503E-3	7.853336871E-2	-3.724495107E-1	3.807694031E-1
1.127010833E-1	2.415075024E-2	4.244143009E-2	-2.952445928E-1	2.992555819E-1
1.226750833E-1	2.387593567E-2	-3.419919491E-2	-1.481380391E-1	1.538977708E-1
1.326500833E-1	1.053580552E-1	2.367245257E-2	-3.173985600E-2	1.125527577E-1
1.426250833E-1	1.789590052E-1	1.365757549E-1	8.785909295E-2	2.416577799E-1
1.526000833E-1	1.967055970E-1	1.605575252E-1	1.408705348E-1	2.903727232E-1
1.625750833E-1	2.263340235E-1	2.183958435E-1	1.943450761E-1	3.697213048E-1
1.725490833E-1	1.818440214E-1	2.297552294E-1	1.857274131E-1	3.469140895E-1
1.825240833E-1	1.234926099E-1	1.812461436E-1	1.732149563E-1	2.794709472E-1
1.924990833E-1	1.837525526E-1	7.469759524E-2	-1.048230350E-2	1.986318454E-1
2.024740833E-1	3.477017552E-1	-2.148851752E-2	-1.887352939E-1	3.962061056E-1
