"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.786708750E-1	1.731994978E-1	3.750813425E-1	-3.124436295E-1	5.179817575E-1
5.886458750E-1	4.038323942E-1	2.889465934E-1	-3.613732032E-1	6.141346175E-1
5.986208750E-1	5.168672588E-1	1.774665034E-1	-2.973227664E-1	6.221309754E-1
6.085958750E-1	5.716732112E-1	9.973712683E-2	-1.443075281E-1	5.979819542E-1
6.185708750E-1	4.517494494E-1	5.687411249E-2	1.586080452E-1	4.821501236E-1
6.285458750E-1	2.940626147E-1	2.520068085E-1	5.080347472E-1	6.388110498E-1
6.385208750E-1	1.510631087E-1	1.074817640E-1	5.944946015E-1	6.227328670E-1
6.484958750E-1	-5.836936247E-1	-1.121515843E0	-4.180028290E-1	1.331623970E0
6.584708750E-1	-1.157702799E0	-1.820109594E0	-8.671654701E-1	2.324876482E0
6.684458750E-1	-3.426822129E-1	-7.797435735E0	-1.150276049E-1	7.805809791E0
6.784208750E-1	-1.952005237E-2	-1.004495165E1	-1.888440156E-1	1.004674558E1
6.883958750E-1	-2.774458146E-4	-9.739632853E0	-4.139477849E-2	9.739720823E0
6.983708750E-1	5.875565512E-3	-9.783646599E0	-7.086829939E-3	9.783650930E0
7.083458750E-1	1.862485279E-2	-9.785106649E0	4.064517458E-2	9.785208789E0
7.183208750E-1	2.002670447E-2	-9.777242728E0	8.959218940E-2	9.777673711E0
7.282958750E-1	2.479628742E-2	-9.777421653E0	1.154263759E-1	9.778134397E0
7.382708750E-1	2.869053304E-2	-9.781153346E0	1.648014343E-1	9.782583679E0
7.482456667E-1	3.469124724E-2	-9.778560691E0	2.094999262E-1	9.780866162E0
7.582216667E-1	3.397933960E-2	-9.778475322E0	2.499485886E-1	9.781728299E0
7.681956667E-1	3.588466396E-2	-9.773405201E0	2.950575550E-1	9.777923905E0
7.781706667E-1	4.275367141E-2	-9.768904599E0	3.407055616E-1	9.774937607E0
7.881456667E-1	4.572113335E-2	-9.768855482E0	3.664496827E-1	9.775833122E0
7.981206667E-1	3.573700349E-2	-9.762477340E0	4.232354292E-1	9.771712704E0
8.080956667E-1	4.977412174E-2	-9.764450190E0	4.721719464E-1	9.775986463E0
8.180706667E-1	5.230218370E-2	-9.760857076E0	5.142111977E-1	9.774532190E0
8.280456667E-1	5.453201939E-2	-9.764400489E0	5.549569718E-1	9.780310214E0
8.380206667E-1	5.261414180E-2	-9.757566263E0	5.918225701E-1	9.775639190E0
8.479956667E-1	5.050328781E-2	-9.753384334E0	6.354333702E-1	9.774192147E0
8.579706667E-1	5.253021598E-2	-9.743161647E0	6.641384482E-1	9.765912051E0
8.679456667E-1	4.902101864E-2	-9.753984843E0	7.119757620E-1	9.780057918E0
8.779206667E-1	4.421052346E-2	-9.749780111E0	7.453014560E-1	9.778325063E0
8.878956667E-1	4.393246095E-2	-9.733522512E0	7.879496583E-1	9.765462366E0
8.978706667E-1	4.289839913E-2	-9.714929536E0	8.355484787E-1	9.750889058E0
9.078456667E-1	4.411959012E-2	-9.732634905E0	8.763363893E-1	9.772107971E0
9.178206667E-1	4.015839388E-2	-9.730639250E0	9.137187354E-1	9.773527247E0
9.277956667E-1	3.468276878E-2	-9.714764060E0	9.535008518E-1	9.761506416E0
9.377706667E-1	3.017483960E-2	-9.705616676E0	9.991989617E-1	9.756961829E0
9.477456667E-1	2.829555362E-2	-9.699641991E0	1.040661714E0	9.755348901E0
9.577206667E-1	2.793067823E-2	-9.702046366E0	1.078548017E0	9.761851752E0
9.676956667E-1	2.437237342E-2	-9.691992663E0	1.128734961E0	9.757528294E0
9.776706667E-1	2.432236145E-2	-9.679332272E0	1.173362958E0	9.750222840E0
9.876456667E-1	1.354186366E-2	-9.672450684E0	1.217558845E0	9.748791471E0
9.976206667E-1	1.426195283E-2	-9.658764691E0	1.256211425E0	9.740123505E0
1.007595667E0	7.695520520E-3	-9.654780983E0	1.307473673E0	9.742912421E0
1.017570667E0	-3.385508627E-2	1.375258690E0	-2.899227276E0	3.209049926E0
1.027545667E0	1.060185860E0	6.408068883E1	-5.235428963E1	8.275524345E1
1.037520667E0	-4.479797494E0	7.017678070E1	-2.016872143E1	7.315481159E1
1.047495667E0	-3.331987600E0	6.891541934E1	4.044123795E1	7.997456402E1
1.057470667E0	6.441911398E0	4.834013399E1	5.427586713E0	4.906857929E1
1.067445667E0	7.717988446E-1	1.560697170E1	-7.323848689E0	1.725723033E1
1.077420667E0	-2.385214116E-1	4.640477226E0	-6.061989731E-1	4.685978932E0
1.087395667E0	-3.395194905E-1	-4.334780699E-1	5.614247378E0	5.641183417E0
1.097370667E0	-4.560099134E-2	-5.237172720E-1	8.594935139E0	8.610996996E0
1.107345667E0	-1.018073335E-2	9.039125893E-1	9.453513973E0	9.496635617E0
1.117320667E0	1.991546120E-2	2.120992109E0	9.834874055E0	1.006100153E1
1.127295667E0	7.821032831E-2	3.410817715E0	1.003938393E1	1.060325535E1
1.137270667E0	1.509712344E-1	4.713391713E0	1.007134247E1	1.112073707E1
1.147245667E0	2.086522626E-1	6.007058063E0	9.922515632E0	1.160106024E1
1.157220667E0	2.845994627E-1	7.254501296E0	9.607933091E0	1.204247334E1
1.167195667E0	3.711606747E-1	8.328596805E0	9.189917398E0	1.240797593E1
1.177170667E0	5.189960108E-1	9.056434236E0	8.705711809E0	1.257289847E1
1.187145667E0	7.686153281E-1	8.230628461E0	7.982398953E0	1.149141886E1
1.197120667E0	3.391941733E0	-8.400744429E0	6.402472513E0	1.109366621E1
1.207095667E0	4.811740711E0	-2.561558758E1	5.908991486E0	2.672503239E1
1.217070667E0	1.517450987E0	-2.969391057E1	7.074140421E0	3.056263152E1
1.227045667E0	-2.243124656E0	-2.725006913E1	7.150870509E0	2.826186166E1
1.237020667E0	-2.068378277E0	-1.583799987E1	7.689902515E0	1.772723975E1
1.246995667E0	-9.139124975E-1	-6.898041582E0	7.548112798E0	1.026607133E1
1.256970667E0	1.149784791E-1	-1.071677100E0	7.155195109E0	7.235919355E0
1.266945667E0	8.727445909E-1	2.772346789E0	6.909000433E0	7.495457079E0
1.276920667E0	1.373655091E0	5.174250832E0	6.727799313E0	8.597853429E0
1.286895667E0	1.655147215E0	6.164510717E0	6.629291271E0	9.202619596E0
1.296870667E0	1.770138704E0	6.101743196E0	6.506398001E0	9.093837254E0
1.306845667E0	1.645251680E0	5.255251141E0	6.125471197E0	8.236863179E0
1.316820667E0	1.137305079E0	2.866947137E0	5.597789220E0	6.391251277E0
1.326795667E0	4.241035214E-1	-7.575944960E-2	5.679386530E0	5.695703174E0
1.336770667E0	-1.080185384E-2	-2.016579548E0	5.976770071E0	6.307811842E0
1.346745667E0	1.556914723E-1	-1.329339628E0	6.341238717E0	6.480948399E0
1.356720667E0	7.075708352E-1	7.865890843E-1	7.176211756E0	7.253784808E0
1.366695667E0	1.109142550E0	2.337784646E0	7.707333065E0	8.130093310E0
1.376670667E0	1.013178339E0	3.006548826E0	6.911949769E0	7.605321544E0
1.386645667E0	4.540542025E-1	2.901241057E0	4.931075073E0	5.739239172E0
