"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.248333335E-3	-2.475056219E-1	-1.999584031E-1	-9.627674460E-2	3.324328615E-1
1.522333334E-2	6.385569711E-2	-8.495419621E-3	-1.306993214E-1	1.457121643E-1
2.519833334E-2	4.539193511E-1	2.116925955E-2	-1.211859016E-1	4.702945222E-1
3.517333334E-2	5.547428906E-1	1.364208037E-1	-8.428412357E-2	5.774548674E-1
4.514833333E-2	3.910728925E-1	5.284128785E-2	7.941801589E-2	4.025387313E-1
5.512333333E-2	2.432713424E-1	2.419694781E-2	4.111458357E-1	4.783380986E-1
6.509833333E-2	1.434368777E-1	1.104147273E-1	7.310177314E-1	7.530952619E-1
7.507333333E-2	1.272784079E-1	1.544501084E-1	7.598731560E-1	7.857874027E-1
8.504833333E-2	2.889776019E-1	1.230581617E-1	4.296036683E-1	5.321754197E-1
9.502333334E-2	3.099647024E-1	5.947027624E-2	1.585051525E-1	3.531836829E-1
1.049983333E-1	2.127945398E-1	-2.527342021E-2	-3.454072712E-2	2.170560383E-1
1.149733333E-1	2.350966426E-1	-8.278838754E-2	-2.706307385E-1	3.679202972E-1
1.249483333E-1	3.717341039E-1	-9.461847425E-2	-2.069107425E-1	4.358336323E-1
1.349233333E-1	3.867041454E-1	-7.479758263E-2	8.245626569E-2	4.024100026E-1
1.448983333E-1	2.123071378E-1	-3.012736350E0	4.534609659E-1	3.054059836E0
1.548723333E-1	3.364984900E-2	-8.470890552E0	6.692194959E-2	8.471221730E0
1.648473333E-1	-6.525401305E-4	-9.415763764E0	-1.907700519E-1	9.417696156E0
1.748223333E-1	-1.754211291E-1	-9.746957075E0	-2.877753596E-1	9.752782139E0
1.847973333E-1	-2.514510489E-1	-9.769081770E0	-2.957814221E-1	9.776792567E0
1.947723333E-1	-3.220844821E-1	-9.774190482E0	-2.839565430E-1	9.783617394E0
2.047473333E-1	-3.916658002E-1	-9.775315486E0	-2.711915231E-1	9.786916767E0
2.147223333E-1	-4.585702264E-1	-9.774545408E0	-2.697928691E-1	9.789014903E0
2.246973333E-1	-5.225719121E-1	-9.770533633E0	-2.578189957E-1	9.787894539E0
2.346723333E-1	-5.784595993E-1	-9.768973011E0	-2.458228298E-1	9.789171470E0
2.446473333E-1	-6.408399251E-1	-9.755780523E0	-2.322338641E-1	9.779563487E0
2.546223333E-1	-7.005812198E-1	-9.754463730E0	-2.223754585E-1	9.782117744E0
2.645973333E-1	-7.641164804E-1	-9.754992903E0	-2.165621567E-1	9.787270289E0
2.745723333E-1	-8.267837217E-1	-9.750931427E0	-1.919757843E-1	9.787803110E0
2.845473333E-1	-8.885976351E-1	-9.743911845E0	-1.849182133E-1	9.786093120E0
2.945223333E-1	-9.398753775E-1	-9.738444114E0	-1.727349365E-1	9.785218283E0
3.044963333E-1	-1.013474208E0	-9.730047512E0	-1.714508879E-1	9.784188774E0
3.144713333E-1	-1.082874226E0	-9.726927438E0	-1.447086471E-1	9.788088402E0
3.244463333E-1	-1.136546988E0	-9.716072082E0	-1.326604593E-1	9.783220050E0
3.344213333E-1	-1.200680199E0	-9.708409891E0	-1.085605752E-1	9.782977100E0
3.443963333E-1	-1.256871576E0	-9.706635261E0	-9.224859774E-2	9.788105233E0
